,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,,,,5.0,8.0,8.0,,,,,,,8.0,,,
2,,,,,,,,,,8.0,,,,,,
3,7.0,7.0,7.0,8.0,,7.0,8.0,8.0,6.0,6.0,,,,6.0,8.0,8.0
4,,,,,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,6.0,7.0
5,,,,,,,,,,,,,,7.0,,
