Home - Fraction of weekenddays with session,Work - Fraction of weekenddays with session,Other Slow - Fraction of weekenddays with session,Other Fast - Fraction of weekenddays with session,MUD - Fraction of weekenddays with session
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.08421052631578947,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.03157894736842106,0.0,0.0,0.0
0.0,0.2842105263157895,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.07368421052631578,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.05263157894736842,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.10526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.12631578947368424,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.23157894736842105,0.0,0.0,0.0
0.0,0.3157894736842105,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.06315789473684212,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.05263157894736842,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.07368421052631578,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.03157894736842106,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.07368421052631578,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.1368421052631579,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.03157894736842106,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.08421052631578947,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.03157894736842106,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.15789473684210525,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.03157894736842106,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.042105263157894736,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.021052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.09473684210526316,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.010526315789473684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
