Home - Fraction of weekdays with session,Work - Fraction of weekdays with session,Other Slow - Fraction of weekdays with session,Other Fast - Fraction of weekdays with session,MUD - Fraction of weekdays with session
0.0,0.004166666666666667,0.3333333333333333,0.0,0.0
0.0,0.016666666666666666,0.1875,0.0,0.0
0.0,0.07083333333333332,0.4791666666666667,0.0,0.0
0.0,0.0,0.016666666666666666,0.0,0.0
0.0,0.029166666666666667,0.1125,0.0,0.0
0.0,0.008333333333333333,0.10000000000000002,0.0,0.0
0.0,0.008333333333333333,0.28333333333333327,0.0,0.0
0.0,0.09166666666666666,0.0125,0.0,0.0
0.0,0.016666666666666666,0.14166666666666664,0.0,0.0
0.0,0.016666666666666666,0.04583333333333333,0.0,0.0
0.0,0.0125,0.041666666666666664,0.0,0.0
0.0,0.020833333333333332,0.04583333333333333,0.0,0.0
0.0,0.020833333333333332,0.1125,0.0,0.0
0.0,0.12083333333333333,0.05416666666666666,0.0,0.0
0.0,0.020833333333333332,0.14166666666666664,0.0,0.0
0.0,0.24583333333333332,0.39583333333333326,0.0,0.0
0.0,0.0125,0.2250000000000001,0.0,0.0
0.0,0.1958333333333333,0.075,0.0,0.0
0.0,0.06666666666666667,0.13749999999999998,0.0,0.0
0.0,0.008333333333333333,0.008333333333333333,0.0,0.0
0.0,0.025000000000000005,0.13749999999999998,0.0,0.0
0.0,0.004166666666666667,0.17916666666666667,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.004166666666666667,0.21666666666666662,0.0,0.0
0.0,0.004166666666666667,0.062499999999999986,0.0,0.0
0.0,0.0125,0.25416666666666665,0.0,0.0
0.0,0.03749999999999999,0.2125,0.0,0.0
0.0,0.008333333333333333,0.4708333333333333,0.0,0.0
0.0,0.004166666666666667,0.23750000000000002,0.0,0.0
0.0,0.24583333333333332,0.004166666666666667,0.0,0.0
0.0,0.004166666666666667,0.06666666666666667,0.0,0.0
0.0,0.004166666666666667,0.05,0.0,0.0
0.0,0.029166666666666667,0.13749999999999998,0.0,0.0
0.0,0.004166666666666667,0.2625,0.0,0.0
0.0,0.058333333333333334,0.20833333333333334,0.0,0.0
0.0,0.05,0.19166666666666668,0.0,0.0
0.0,0.008333333333333333,0.6166666666666667,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
